title,rating,reviews
Université Libre de Bruxelles,4.2,759
Universitas Freiburg,4.5,725
École des ponts ParisTech,4.7,142
Wuhan University,4.6,206
Universitas Minnesota,4.4,299
Universitas Hokkaido,4.5,1376
Indian Institute of Technology Delhi,,
University of the Andes,4.7,1643
Autonomous University of Madrid,4.3,827
Universitas Ratu Belfast,4.5,695
King Saud University,,
University of Ottawa,4.1,852
Universitas Hamburg,4.1,519
Universitas Otago,4.7,391
Universitas Vrije Amsterdam,4.2,608
Universitas Aberdeen,4.6,385
Queen's University,4.3,575
Universitas Twente,4.4,412
Universitas Chulalongkorn,4.7,1140
Universitas Loughborough,4.6,633
Universitas Tübingen,4.4,734
Universitas Keio,4.1,675
Universitas Tel Aviv,4.4,1263
Universitas Tongji,4.8,29
National Yang Ming Chiao Tung University,4.6,1667
Universitas Sussex,4.3,461
Universitas Padova,4.5,1519
UNICAMP Universidade Estadual de Campinas,4.7,3127
Universitas Lausanne,4.3,238
Universitas Radboud Nijmegen,4.6,983
Universitas Pittsburgh,4.5,672
Universitas Rochester,4.5,404
Indian Institute of Science,4.8,2383
Universitas Amerika di Beirut,4.4,644
Universidad Nacional de Colombia,4.8,4441
Universitas Nasional Cheng Kung,4.6,3380
University of Erlangen-Nuremberg,4.1,260
Al-Farabi Kazakh National University,4.5,1700
Khalifa University,4.5,466
Universitas Georg August Göttingen,4.5,468
Deakin College Jakarta,4.9,59
National Tsing Hua University,4.6,2513
Heriot-Watt University Edinburgh Campus,4.5,463
Cité Internationale Universitaire de Paris,4.4,2956
Perguruan Tinggi Dartmouth,4.5,369
Universitas Indonesia,4.7,6369
Massey University,4.4,186
Universitas Bonn,4.4,719
Universitas Victoria Wellington,4.3,335
La Trobe University City Campus,4,53
Griffith University,3.6,33
University Of Surrey,4.5,557
Universitas Massachusetts Amherst,4.4,257
Technische Universität Darmstadt,4.4,362
Dresden University of Technology,4.5,522
Universitas Charles di Praha,4.5,236
University of Antwerp,4.5,212
THe University Of Waikato - Jakarta Representative,1,2
Universitas Ibrani Yerusalem,4.3,1094
Politecnico di Torino,4.5,1256
University of Porto,4.6,425
University of Macao,4,80
Case Western Reserve University,4.5,362
Harbin Institute of Technology,4.7,109
Universitas Maastricht,4.5,414
Universitas Canterbury,4.4,208
Vrije Universiteit Brussel,4.5,392
University of Virginia,4,1
Universitas Vanderbilt,4.4,739
Universitas Warsawa,4.4,1054
Universitas Gadjah Mada,4.7,8530
Universitas Colorado Boulder,4.5,743
University of the Witwatersrand,4.6,1597
UNIST | Ulsan National Institute of Science & Technology,4.7,269
University of Lisbon,4.5,1748
Linköping University,4.6,296
University of California,4.4,1021
University of Cologne,4,385
Institut Teknologi Kharagpur,4.6,4302
Beijing Normal University,4.5,110
Universitas Leicester,4.2,218
North Carolina State University,4.6,1053
Universitas Sains dan Teknologi Huazhong,4.4,47
Universitas Milan,4.4,1061
University of Strathclyde,4.3,352
Indian Institute of Technology Kanpur,4.7,1950
University of Miami,4.6,339
University of Navarra,4.7,350
Institut Teknologi Bandung,4.7,5047
Universitas Bergen,4.6,240
Universitas Stellenbosch,4.6,1282
Taylor’s University,3.9,649
Indian Institute Of Technology–Madras (IIT–Madras),4.7,1990
Universitas Teknologi Swinburne,3.9,608
Universitas Arizona,4.5,1354
Tianjin University Peiyang School,4.2,13
Universitas Nasional Irlandia,4.5,330
Universitas Uni Emirat Arab,4.5,644
Xi'an Jiaotong University,4.5,106
Norwegian University of Science and Technology,4.7,404
University College Cork,4.6,809
Université Grenoble Alpes,4.4,524
Hong Kong Baptist University,4,66
Universitas East Anglia,4.5,500
Universitas Georgetown,4.5,1078
Dalhousie University,4.2,419
Rutgers–New Brunswick,4.4,762
UCSI University,4.5,3827
Universitas Goethe Frankfurt,4.2,721
Institut Politeknik dan Universitas Negeri Virginia,4.6,842
Universitas Jagiellonian,4.4,698
Universitas Notre Dame,4.6,1336
University of Johannesburg - Soweto Campus,4.5,513
Daegu Gyeongbuk Institute of Science & Technology (DGIST),4.5,121
Swansea University,4.5,318
Universitas Teknologi Petronas,4.5,587
Universitas Tasmania,3.9,252
Universitas Hamad Bin Khalifa,4.5,68
Pompeu Fabra University,3.8,144
Universitas Stuttgart,4.1,259
Universitas Indiana Bloomington,4.3,352
University of Oulu,4.5,259
Quaid e Azam University Islamabad,4.6,3700
Universitas Negeri Sankt-Peterburg,4.4,431
Universitas Turku,4.1,99
Universitas Simon Fraser,4.2,917
Bauman Moscow State Technical University,4.2,841
Institut Ilmu Politik Paris,4,303
University Carlos III of Madrid | Puerta de Toledo,4.3,113
University of Victoria,4.3,558
Sun Yat-sen University,4.6,124
Universitas Illinois di Chicago,4.4,706
University of Pretoria,4.6,1440
"University of South Australia, City West Campus",4.7,242
University of Southern Denmark,4.6,280
"City, University of London",4.3,429
GIST | Gwangju Institute of Science and Technology,4.6,176
USI Università della Svizzera italiana,4.7,136
Universitas Paris 1 Panthéon-Sorbonne,4.2,341
Universitas Kyunghee,4.6,881
University of California Santa Cruz,4.4,292
Sharif University of Technology,4.6,344
Universitas Naples Federico II,4.3,1133
Aalborg University,4.5,208
Universitas Teknik Timur Tengah,4.7,305
Pontifical Catholic University of Peru,4.6,2051
University of Kent,4.3,451
Beijing Institute of Technology,4.6,37
Universitas George Washington,4.4,691
Universitas Patrice Lumumba,4.4,1480
Universitas Brunel London,4.4,695
University of Aveiro,4.6,692
Universitas Airlangga,4.4,33
Universitas Saskatchewan,4.3,649
National Metsovio Polythechnic,,
Pontifical Javierian University,4.7,2671
Universidad Politécnica de Madrid,4,430
Universitas Pisa,4.1,137
LUT University,4.6,195
Universitas Coimbra,4.6,2252
Universitas York,4.5,499
Universitat Politècnica de Catalunya · Barcelona Tech - UPC,4.1,123
L.N. Gumilyov Eurasian National University,4.3,876
Sichuan University,4.2,59
Universitas Tsukuba,4.3,580
Universitas Florence,4.3,321
Universitas Tartu,4.7,888
Shandong University,4,59
University of Tehran,4.5,426
Lincoln University College,4.4,269
Universitas Innsbruck,4.6,518
American University of Sharjah,4.4,650
Indian Institute of Technology Guwahati,4.7,38
Universitas Torino,4.3,983
National University of Sciences & Technology (NUST),4.6,2778
University of Cyprus (Old Campus),4.2,102
Indian Institute Of Technology Roorkee,4.7,4091
Universitas Yeshiva,4.3,58
Cairo University,5,2
Tilburg University,4.3,321
Universidade Federal do Rio de Janeiro,4.6,632
"Birkbeck, University of London",4.1,316
Amirkabir University of Technology (Tehran Polytechnique),4.4,259
Northeastern University,4.7,1041
Ruhr-Universität Bochum,4.3,1000
Western Sydney University,3.7,11
Tufts University,4.3,374
Universitas Flinders,4.3,582
Universitas Luksemburg,4.2,269
Mahidol University,4.7,1105
Université Montpellier,4.4,40
Universitas Nankai,4.5,62
University of Münster,4.5,895
University of Hawaii at Manoa,4.3,347
Université d'Aix-Marseille,3.9,110
